Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type,image_path_0,image_path_1,image_path_2
Bunnahabhain 12yo,8.7,0.26,33,70,SingleMalt-like,EF,F,Scotland,Malt,data/images/Bunnahabhain_12yo_0.jpg,data/images/Bunnahabhain_12yo_1.jpg,data/images/Bunnahabhain_12yo_2.jpg
Ardbeg 19yo Traigh Bhan,9.1,0.22,10,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Ardbeg_19yo_Traigh_Bhan_0.jpg,data/images/Ardbeg_19yo_Traigh_Bhan_1.jpg,data/images/Ardbeg_19yo_Traigh_Bhan_2.jpg
Hakushu 18yo,8.76,0.31,10,300,SingleMalt-like,EF,F,Japan,Malt,data/images/Hakushu_18yo_0.jpg,data/images/Hakushu_18yo_1.jpg,data/images/Hakushu_18yo_2.jpg
Penderyn Portwood,8.47,0.33,6,70,SingleMalt-like,ABC,C,Wales,Malt,data/images/Penderyn_Portwood_0.jpg,data/images/Penderyn_Portwood_1.jpg,data/images/Penderyn_Portwood_2.jpg
Ardbeg 23yo Twenty Something,9.29,0.17,8,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Ardbeg_23yo_Twenty_Something_0.jpg,data/images/Ardbeg_23yo_Twenty_Something_1.jpg,data/images/Ardbeg_23yo_Twenty_Something_2.jpg
Compass Box Oak Cross,8.58,0.37,18,70,SingleMalt-like,EF,F,Scotland,Malt,data/images/Compass_Box_Oak_Cross_0.jpg,data/images/Compass_Box_Oak_Cross_1.jpg,data/images/Compass_Box_Oak_Cross_2.jpg
Brora 35yo,9.43,0.3,13,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Brora_35yo_0.jpg,data/images/Brora_35yo_1.jpg,data/images/Brora_35yo_2.jpg
Ardbeg Supernova 2014,9.07,0.32,15,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Ardbeg_Supernova_2014_0.jpg,data/images/Ardbeg_Supernova_2014_1.jpg,data/images/Ardbeg_Supernova_2014_2.jpg
Ardbeg 22yo Twenty Something,9.02,0.16,4,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Ardbeg_22yo_Twenty_Something_0.jpg,data/images/Ardbeg_22yo_Twenty_Something_1.jpg,data/images/Ardbeg_22yo_Twenty_Something_2.jpg
Glen Moray Classic Sherry Cask finish,8.37,0.21,6,50,SingleMalt-like,ABC,B,Scotland,Malt,data/images/Glen_Moray_Classic_Sherry_Cask_finish_0.jpg,data/images/Glen_Moray_Classic_Sherry_Cask_finish_1.jpg,data/images/Glen_Moray_Classic_Sherry_Cask_finish_2.jpg
