Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type,image_path_0,image_path_1,image_path_2
Glen Moray Classic,7.89,0.4,7,30,SingleMalt-like,GH,G,Scotland,Malt,data/images/Glen_Moray_Classic_0.jpg,data/images/Glen_Moray_Classic_1.jpg,data/images/Glen_Moray_Classic_2.jpg
Two Brewers Release 19 Peated,8.78,0.39,6,125,SingleMalt-like,I,I,Canada,Malt,data/images/Two_Brewers_Release_19_Peated_0.jpg,data/images/Two_Brewers_Release_19_Peated_1.jpg,data/images/Two_Brewers_Release_19_Peated_2.jpg
Ben Nevis Celebrated Traditional (NAS),8.73,0.19,5,50,SingleMalt-like,I,I,Scotland,Malt,data/images/Ben_Nevis_Celebrated_Traditional_(NAS)_0.jpg,data/images/Ben_Nevis_Celebrated_Traditional_(NAS)_1.jpg,data/images/Ben_Nevis_Celebrated_Traditional_(NAS)_2.jpg
Bruichladdich Octomore 11.2,8.7,0.18,3,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Bruichladdich_Octomore_11.2_0.jpg,data/images/Bruichladdich_Octomore_11.2_1.jpg,data/images/Bruichladdich_Octomore_11.2_2.jpg
Bruichladdich Octomore 10.1,8.7,0.31,8,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Bruichladdich_Octomore_10.1_0.jpg,data/images/Bruichladdich_Octomore_10.1_1.jpg,data/images/Bruichladdich_Octomore_10.1_2.jpg
Balvenie 14yo Carribean Cask,8.53,0.34,26,125,SingleMalt-like,EF,F,Scotland,Malt,data/images/Balvenie_14yo_Carribean_Cask_0.jpg,data/images/Balvenie_14yo_Carribean_Cask_1.jpg,data/images/Balvenie_14yo_Carribean_Cask_2.jpg
Glen Breton 14yo,7.68,1.04,7,125,SingleMalt-like,GH,G,Canada,Malt,data/images/Glen_Breton_14yo_0.jpg,data/images/Glen_Breton_14yo_1.jpg,data/images/Glen_Breton_14yo_2.jpg
Longrow 18yo,9.01,0.3,18,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Longrow_18yo_0.jpg,data/images/Longrow_18yo_1.jpg,data/images/Longrow_18yo_2.jpg
Glenlivet 15yo French Oak,8.37,0.27,22,125,SingleMalt-like,EF,F,Scotland,Malt,data/images/Glenlivet_15yo_French_Oak_0.jpg,data/images/Glenlivet_15yo_French_Oak_1.jpg,data/images/Glenlivet_15yo_French_Oak_2.jpg
Hakushu Single Malt Heavily Peated,8.78,0.32,12,300,SingleMalt-like,I,I,Japan,Malt,data/images/Hakushu_Single_Malt_Heavily_Peated_0.jpg,data/images/Hakushu_Single_Malt_Heavily_Peated_1.jpg,data/images/Hakushu_Single_Malt_Heavily_Peated_2.jpg
Dun Bheagan Islay 2009,8.83,0.21,3,50,SingleMalt-like,I,I,Scotland,Malt,data/images/Dun_Bheagan_Islay_2009_0.jpg,data/images/Dun_Bheagan_Islay_2009_1.jpg,data/images/Dun_Bheagan_Islay_2009_2.jpg
Lagavulin 11yo Offerman Edition,8.73,0.27,9,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Lagavulin_11yo_Offerman_Edition_0.jpg,data/images/Lagavulin_11yo_Offerman_Edition_1.jpg,data/images/Lagavulin_11yo_Offerman_Edition_2.jpg
Bruichladdich Octomore 7.1,9.0,0.28,17,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Bruichladdich_Octomore_7.1_0.jpg,data/images/Bruichladdich_Octomore_7.1_1.jpg,data/images/Bruichladdich_Octomore_7.1_2.jpg
Bruichladdich Octomore 10 (Second Edition),8.99,0.25,13,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Bruichladdich_Octomore_10_(Second_Edition)_0.jpg,data/images/Bruichladdich_Octomore_10_(Second_Edition)_1.jpg,data/images/Bruichladdich_Octomore_10_(Second_Edition)_2.jpg
Two Brewers Release 07 Peated,8.98,0.28,7,125,SingleMalt-like,I,I,Canada,Malt,data/images/Two_Brewers_Release_07_Peated_0.jpg,data/images/Two_Brewers_Release_07_Peated_1.jpg,data/images/Two_Brewers_Release_07_Peated_2.jpg
Two Brewers Peated (all releases),8.7,0.38,8,125,SingleMalt-like,I,I,Canada,Malt,data/images/Two_Brewers_Peated_(all_releases)_0.jpg,data/images/Two_Brewers_Peated_(all_releases)_1.jpg,data/images/Two_Brewers_Peated_(all_releases)_2.jpg
McClelland's Highland Single Malt,7.05,0.65,7,50,SingleMalt-like,GH,G,Scotland,Malt,data/images/McClelland's_Highland_Single_Malt_0.jpg,data/images/McClelland's_Highland_Single_Malt_1.jpg,data/images/McClelland's_Highland_Single_Malt_2.jpg
Bunnahabhain Eirigh Na Greine,8.39,0.41,13,125,SingleMalt-like,EF,F,Scotland,Malt,data/images/Bunnahabhain_Eirigh_Na_Greine_0.jpg,data/images/Bunnahabhain_Eirigh_Na_Greine_1.jpg,data/images/Bunnahabhain_Eirigh_Na_Greine_2.jpg
Bruichladdich Octomore 7.4,8.71,0.6,13,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Bruichladdich_Octomore_7.4_0.jpg,data/images/Bruichladdich_Octomore_7.4_1.jpg,data/images/Bruichladdich_Octomore_7.4_2.jpg
Glenrothes Vintage 1998 (2014),8.33,0.59,12,125,SingleMalt-like,EF,F,Scotland,Malt,data/images/Glenrothes_Vintage_1998_(2014)_0.jpg,data/images/Glenrothes_Vintage_1998_(2014)_1.jpg,data/images/Glenrothes_Vintage_1998_(2014)_2.jpg
Compass Box No Name (all editions),9.0,0.3,17,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Compass_Box_No_Name_(all_editions)_0.jpg,data/images/Compass_Box_No_Name_(all_editions)_1.jpg,data/images/Compass_Box_No_Name_(all_editions)_2.jpg
Hakushu Distiller's Reserve,8.35,0.17,5,125,SingleMalt-like,GH,H,Japan,Malt,data/images/Hakushu_Distiller's_Reserve_0.jpg,data/images/Hakushu_Distiller's_Reserve_1.jpg,data/images/Hakushu_Distiller's_Reserve_2.jpg
Two Brewers Release 25 Peated,8.7,0.38,3,125,SingleMalt-like,I,I,Canada,Malt,data/images/Two_Brewers_Release_25_Peated_0.jpg,data/images/Two_Brewers_Release_25_Peated_1.jpg,data/images/Two_Brewers_Release_25_Peated_2.jpg
Bruichladdich Octomore 9.2,8.65,0.56,3,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Bruichladdich_Octomore_9.2_0.jpg,data/images/Bruichladdich_Octomore_9.2_1.jpg,data/images/Bruichladdich_Octomore_9.2_2.jpg
Bruichladdich Octomore 8.2,9.03,0.2,9,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Bruichladdich_Octomore_8.2_0.jpg,data/images/Bruichladdich_Octomore_8.2_1.jpg,data/images/Bruichladdich_Octomore_8.2_2.jpg
Bruichladdich Octomore 9.3,9.07,0.25,13,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Bruichladdich_Octomore_9.3_0.jpg,data/images/Bruichladdich_Octomore_9.3_1.jpg,data/images/Bruichladdich_Octomore_9.3_2.jpg
Bruichladdich Octomore 8.3,9.07,0.19,13,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Bruichladdich_Octomore_8.3_0.jpg,data/images/Bruichladdich_Octomore_8.3_1.jpg,data/images/Bruichladdich_Octomore_8.3_2.jpg
Lagavulin 12yo Cask Strength,9.08,0.18,29,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Lagavulin_12yo_Cask_Strength_0.jpg,data/images/Lagavulin_12yo_Cask_Strength_1.jpg,data/images/Lagavulin_12yo_Cask_Strength_2.jpg
Bruichladdich Octomore 7.3,9.08,0.46,15,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Bruichladdich_Octomore_7.3_0.jpg,data/images/Bruichladdich_Octomore_7.3_1.jpg,data/images/Bruichladdich_Octomore_7.3_2.jpg
Bruichladdich Octomore 6.2,9.08,0.18,12,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Bruichladdich_Octomore_6.2_0.jpg,data/images/Bruichladdich_Octomore_6.2_1.jpg,data/images/Bruichladdich_Octomore_6.2_2.jpg
Bruichladdich Octomore 10 (Third Edition),9.17,0.2,5,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Bruichladdich_Octomore_10_(Third_Edition)_0.jpg,data/images/Bruichladdich_Octomore_10_(Third_Edition)_1.jpg,data/images/Bruichladdich_Octomore_10_(Third_Edition)_2.jpg
